keyword,volume,niche,cluster,cluster_rep
best running shoes,54000,commerce,0,how to choose marathon shoes
nike pegasus review,8100,review,3,where to buy nike outlet near me
how to choose marathon shoes,2900,guide,0,how to choose marathon shoes
marathon nutrition plan,4400,guide,1,marathon nutrition plan
half marathon training plan beginner,12100,guide,1,marathon nutrition plan
buy gel insoles online,1600,transactional,4,buy gel insoles online
running cadence tips,2400,info,2,running cadence tips
shoe size conversion chart,14800,info,0,how to choose marathon shoes
marathon recovery ice bath,1900,info,1,marathon nutrition plan
where to buy nike outlet near me,9900,navigational,3,where to buy nike outlet near me
