keyword,volume,niche,intent,confidence
best running shoes,54000,commerce,transactional,0.372
nike pegasus review,8100,review,informational,0.5255
how to choose marathon shoes,2900,guide,informational,0.7088
marathon nutrition plan,4400,guide,transactional,0.361
half marathon training plan beginner,12100,guide,informational,0.3308
buy gel insoles online,1600,transactional,transactional,0.8236
running cadence tips,2400,info,informational,0.9211
shoe size conversion chart,14800,info,transactional,0.6079
marathon recovery ice bath,1900,info,transactional,0.4631
where to buy nike outlet near me,9900,navigational,navigational,0.7658
